Code,County,Severe stunting in children (%),Severe wasting in children (%),Severe underweight (%),Food poverty rate (%),Poor_Feeding_Score,Borderline_feeding_score,Unacceptable_Feeding_Score,Maize_Production(Ton),Beans_Production(Ton),TLU,Land Area (Km2),Arable Land (Km2),Arable Land (%),Rural_Population,Urban_Population,Total Population,Population_Density/sqKm,Male Literacy,Female Literacy,Overall Literacy,poverty_rate_percentage,GCP_USD,Mean_distance_to_roads,Conflict_cases_per_year,Food_Source_Purchases,Food_Source_Stock,Food_Source_Own_production,Food_source_Gifts,Access_improved Sanitation services,Access to Water,Access to_Unimproved Sanitation Services,Average Rainfall,Evapotransipiration
1,Baringo,9.9,4.8,1.6,8.5,7,21,28,58476,11588,730073,10796,2761.173769,25.58,"591,474","75,289","666,763",62,87.7,79.6,83.6,58.5,928.66,10.61,6,68.6,4.8,21.5,5.1,71.3,82.6,13.6,782.9,0.43
2,Bomet,15.2,2.9,3.6,6.1,1,5,6,58337,43420,348431,2819,2349.843729,83.36,"847,718","27,971","875,689",311,84.5,73,78.9,50.7,1595.69,10.28,3,56.4,10.6,28.6,4.4,30.6,60.6,66.3,1407.7,0.86
3,Bungoma,13.6,1.8,0.9,8.8,1,9,10,295482,83945,422246,3025,2393.454998,79.12,"1,480,458","190,112","1,670,570",552,91.5,84.9,88,52.2,1835.09,7.56,5,67.1,5.9,22.1,4.7,39.3,78.4,30,1606.0,0.93
4,Busia,10.7,0.2,0.7,26.8,4,20,24,53629,13646,243701,1816,1454.229444,80.08,"779,928","113,753","893,681",492,91,76.1,83,66,867.12,3.48,3,52.9,2.2,38.1,6.8,61.6,67.2,39.3,1538.4,0.82
5,Embu,8.5,5.3,0.4,4,1,9,7,92601,0,230259,2827,2301.880261,81.42,"433,901","20,579","454,480",161,90.1,82.2,86.1,52.1,1595.31,11.25,4,58.9,9,25.6,6.5,72.9,75,29.9,1011.3,0.61
6,Garissa,5,4.7,16.6,23.8,3,9,13,32114,11719,1587332,44822,147.6854927,0.33,"532,675","75,924","608,599",14,53.6,30.3,41.7,55.2,1037.34,87.95,14,38,47.2,9.8,5,98.4,79.9,1.3,403.4,0.20
7,Homa Bay,13.4,2.6,3,5.9,2,3,16,119,28946,842885,4755,2696.054652,56.70,"630,463","210,890","841,353",177,92.4,81.4,86.4,40.8,393.94,8.52,5,56,9.4,17.6,17,45.1,59.8,54.9,1325.6,0.64
8,Isiolo,10.5,5.3,11.5,8.9,3,13,11,100742,45,441340,25350,199.5654043,0.79,"1,018,871","113,079","1,131,950",45,64.6,55.9,60.1,54.5,1141.98,91.78,7,71.7,12.9,9.4,6,25.1,44.7,93.7,396.2,0.18
9,Kajiado,13.5,1,1.1,11.4,1,10,11,288,805,992266,21821,1528.883981,7.01,"142,333","125,669","268,002",12,86.7,80.5,83.4,43.1,158.5,24.17,3,83.5,6,7.8,2.6,70.7,32.8,59.2,624.9,0.34
10,Kakamega,11.1,0.7,0.7,6.9,2,9,10,18698,42693,533391,2989,2779.73191,93.00,"495,218","622,622","1,117,840",374,84.6,76.9,80.6,63.1,1078.05,5.51,7,59.3,5,28.8,6.8,84.3,42.9,74,1697.0,0.93
11,Keiyo-Marakwet,11.7,1.2,0.9,12.2,2,9,10,238293,10285,385608,3018,1852.754383,61.39,"1,682,239","185,340","1,867,579",619,87.3,81.9,84.6,12.1,1825.63,10.45,3,48.2,11.7,35.6,4.5,32.4,75,29.2,1109.0,0.69
12,Kericho,11,2.4,1.2,7.3,1,5,7,105403,14545,311905,2101,1812.826736,86.28,"808,239","93,538","901,777",429,91.5,81.4,86.4,39.2,1367.99,6.81,2,55.1,9.5,31.1,4,79,70.2,51.4,1444.9,0.88
13,Kiambu,8.2,5.7,2.6,3.1,2,4,6,32219,10827,399756,2574,1888.413737,73.36,"711,450","1,706,285","2,417,735",939,95.8,92.1,94,25.4,4219.18,4.84,9,83.8,6.6,7.6,1.9,90.3,59.3,3.8,1144.2,0.78
14,Kilifi,10.8,1.4,1.3,7,1,12,13,54675,21,1005389,12500,5389.473138,43.12,"1,059,899","393,888","1,453,787",116,90.7,70.4,80.1,66.9,1192.95,19.34,4,70,7.5,15.5,7,70,65.9,1.6,822.4,0.48
15,Kirinyaga,13.2,0.6,0.7,0.9,1,2,3,33348,7102,151438,1477,1089.942006,73.79,"474,187","136,224","610,411",413,94.8,84.4,89.1,25.6,1008.36,8.85,2,68.4,10.3,15.5,5.6,87,53.2,43.2,1337.4,0.92
16,Kisii,13.6,0.7,4.1,7.5,1,10,11,154183,36214,305741,1305,1300.015258,99.62,"1,115,450","151,410","1,266,860",971,93.7,88.1,90.8,59.8,1635.46,5.17,6,60.9,9,25.5,4.5,41.3,68.4,16.5,1738.0,1.00
17,Kisumu,6,0.5,2.2,6,2,11,13,70914,22170,392304,2675,1907.611044,71.31,"714,668","440,906","1,155,574",432,96.9,90.8,93.9,45,1944.89,6.20,11,83.7,3.2,8.9,4.2,96.3,53.1,12.1,1340.8,0.66
18,Kitui,10.4,1.1,1.4,12.8,3,7,6,22967,10705,609335,30557,14684.98834,48.06,"1,082,168","54,019","1,136,187",37,89.5,77.5,83,62.5,1015.6,36.86,3,56.9,6.5,31.7,4.8,56.8,81.9,18.2,706.8,0.36
19,Kwale,13.9,2.5,0.4,5.9,2,18,20,62103,71,412617,8243,3411.076602,41.38,"740,389","126,431","866,820",105,79.9,55.7,67.7,72.9,862.78,13.34,3,70.9,4.8,20.7,3.6,33.7,82.7,44.7,876.9,0.54
20,Laikipia,18.2,11.5,2.7,15,1,8,9,48008,13326,376695,9684,2622.06036,27.08,"391,200","127,360","518,560",54,84.3,71.6,77.6,48.1,810.95,15.32,5,66.7,11.7,15,6.6,42.3,63.7,13.1,722.4,0.48
21,Lamu,10.5,4.3,1.5,3.2,0,8,8,29025,0,149903,6171,468.3908022,7.59,"105,474","38,446","143,920",23,87.3,77.3,82.2,30.6,323.86,33.99,6,76.3,6,13.2,4.6,70,67.8,34.4,812.3,0.47
22,Machakos,16.9,1.7,0,3.5,1,6,14,81373,55027,342945,6221,4769.692299,76.67,"1,007,854","414,078","1,421,932",229,95.4,89.4,92.4,57,2328.6,7.83,3,73.7,8.1,15.6,2.7,83.5,93.2,9.8,776.9,0.42
23,Makueni,6.6,1.8,0.8,6.6,2,6,9,62759,29643,454133,7987,5707.830314,71.46,"910,577","77,076","987,653",124,85.5,79.3,82.3,63.8,1009.24,14.89,1,60.8,5.7,30.4,3.1,88,63.3,68,741.9,0.38
